"Montlouis-sur-Loire","Montlouis-sur-Loire","47.3883","0.8272","France","FR","FRA","Centre-Val de Loire","","10825","1250536524"
"Largs","Largs","55.7940","-4.8670","United Kingdom","GB","GBR","North Ayrshire","","11260","1826043639"
"Capilla del Monte","Capilla del Monte","-30.8500","-64.5167","Argentina","AR","ARG","Córdoba","","11181","1032258122"
"Hallbergmoos","Hallbergmoos","48.3333","11.7500","Germany","DE","DEU","Bavaria","","10953","1276167916"
"Santa Cruz","Santa Cruz","-0.5333","-90.3500","Ecuador","EC","ECU","Galápagos","","11262","1218773967"
"Jeseník","Jesenik","50.2294","17.2047","Czechia","CZ","CZE","Olomoucký Kraj","","10977","1203267061"
"Edd","Edd","13.9333","41.7000","Eritrea","ER","ERI","Debubawī K’eyih Bahrī","","11259","1232211688"
"Saint-Jean-de-Védas","Saint-Jean-de-Vedas","43.5764","3.8239","France","FR","FRA","Occitanie","","10452","1250545862"
"Kamargani","Kamargani","22.5475","88.6606","India","IN","IND","West Bengal","","9555","1356656536"
"Greentree","Greentree","39.8989","-74.9614","United States","US","USA","New Jersey","","11262","1840033472"
"Beaumont-sur-Oise","Beaumont-sur-Oise","49.1425","2.2864","France","FR","FRA","Île-de-France","","9555","1250864687"
"Drākshārāma","Draksharama","16.7928","82.0635","India","IN","IND","Andhra Pradesh","","9299","1356061765"
"Friedrichsthal","Friedrichsthal","49.3256","7.0961","Germany","DE","DEU","Saarland","","10133","1276137098"
"Wellesley","Wellesley","43.5500","-80.7167","Canada","CA","CAN","Ontario","","11260","1124590159"
"Meiwa","Meiwa","36.2114","139.5342","Japan","JP","JPN","Gunma","","10714","1392003514"
"Apt","Apt","43.8761","5.3964","France","FR","FRA","Provence-Alpes-Côte d’Azur","minor","11011","1250780194"
"Estevan","Estevan","49.1392","-102.9861","Canada","CA","CAN","Saskatchewan","","11258","1124416742"
"Le Luc","Le Luc","43.3947","6.3128","France","FR","FRA","Provence-Alpes-Côte d’Azur","","11008","1250398997"
"Pūdimadaka","Pudimadaka","17.5000","83.0167","India","IN","IND","Andhra Pradesh","","9912","1356646092"
"Quintanar de la Orden","Quintanar de la Orden","39.5906","-3.0428","Spain","ES","ESP","Castille-La Mancha","","11129","1724764204"
"Douar Jwalla","Douar Jwalla","31.8878","-7.4411","Morocco","MA","MAR","Marrakech-Safi","","11168","1504383482"
"Sonseca","Sonseca","39.7000","-3.9500","Spain","ES","ESP","Castille-La Mancha","","11070","1724606218"
"Polistena","Polistena","38.4000","16.0667","Italy","IT","ITA","Calabria","","10373","1380105837"
"Glückstadt","Gluckstadt","53.7917","9.4219","Germany","DE","DEU","Schleswig-Holstein","","10779","1276320912"
"Nova Laranjeiras","Nova Laranjeiras","-25.3069","-52.5408","Brazil","BR","BRA","Paraná","","11241","1076553896"
"Therwil","Therwil","47.4997","7.5500","Switzerland","CH","CHE","Basel-Landschaft","","9947","1756897872"
"North Saanich","North Saanich","48.6142","-123.4200","Canada","CA","CAN","British Columbia","","11249","1124000779"
"Inhangapi","Inhangapi","-1.4300","-47.9169","Brazil","BR","BRA","Pará","","11224","1076688647"
"Lauingen","Lauingen","48.5667","10.4333","Germany","DE","DEU","Bavaria","","11000","1276983214"
"Westview","Westview","25.8826","-80.2415","United States","US","USA","Florida","","11247","1840029098"
"Otar","Otar","43.5346","75.2139","Kazakhstan","KZ","KAZ","Zhambyl","","11238","1398243169"
"Sanjiaocheng","Sanjiaocheng","36.8993","100.9872","China","CN","CHN","Qinghai","minor","11196","1156963615"
"San Francisco","San Francisco","15.6667","-87.0333","Honduras","HN","HND","Atlántida","","11206","1340403835"
"DuBois","DuBois","41.1225","-78.7564","United States","US","USA","Pennsylvania","","11241","1840035398"
"Lamesa","Lamesa","32.7333","-101.9542","United States","US","USA","Texas","","11241","1840020725"
"Vire","Vire","48.8386","-0.8892","France","FR","FRA","Normandie","minor","10762","1250663430"
"Korablino","Korablino","53.9167","40.0167","Russia","RU","RUS","Ryazanskaya Oblast’","","11220","1643006109"
"Xintianfeng","Xintianfeng","24.4575","115.5205","China","CN","CHN","Guangdong","","10974","1156028668"
"North Logan","North Logan","41.7759","-111.8066","United States","US","USA","Utah","","11237","1840020114"
"Berlin","Berlin","44.4869","-71.2599","United States","US","USA","New Hampshire","","11237","1840002100"
"Los Almácigos","Los Almacigos","19.4083","-71.4417","Dominican Republic","DO","DOM","Cibao Noroeste","","11183","1214526672"
"Goldach","Goldach","47.4831","9.4664","Switzerland","CH","CHE","Sankt Gallen","","9269","1756725037"
"Morazán","Morazan","14.9322","-90.1433","Guatemala","GT","GTM","El Progreso","minor","11201","1320386903"
"Bataiporã","Bataipora","-22.2950","-53.2708","Brazil","BR","BRA","Mato Grosso do Sul","","11228","1076881437"
"Ibiraçu","Ibiracu","-19.8319","-40.3700","Brazil","BR","BRA","Espírito Santo","","11178","1076949374"
"Dois Riachos","Dois Riachos","-9.3928","-37.1008","Brazil","BR","BRA","Alagoas","","11214","1076407140"
"Cerreto Guidi","Cerreto Guidi","43.7617","10.8771","Italy","IT","ITA","Tuscany","","11010","1380624568"
"Boguchany","Boguchany","58.3786","97.4356","Russia","RU","RUS","Krasnoyarskiy Kray","","11232","1643463760"
"Waupun","Waupun","43.6315","-88.7380","United States","US","USA","Wisconsin","","11232","1840002600"
"Jeumont","Jeumont","50.2944","4.1014","France","FR","FRA","Hauts-de-France","","10229","1250978042"
"Kursavka","Kursavka","44.4600","42.4953","Russia","RU","RUS","Stavropol’skiy Kray","","11215","1643870461"
"Týrnavos","Tyrnavos","39.7353","22.2869","Greece","GR","GRC","Thessalía","minor","11069","1300449251"
"Nallamada","Nallamada","14.2164","77.9944","India","IN","IND","Andhra Pradesh","","10944","1356596502"
"Fino Mornasco","Fino Mornasco","45.7500","9.0333","Italy","IT","ITA","Lombardy","","9865","1380369319"
"Big Lake","Big Lake","45.3416","-93.7431","United States","US","USA","Minnesota","","11226","1840006701"
"Boujediane","Boujediane","35.1114","-5.7822","Morocco","MA","MAR","Tanger-Tétouan-Al Hoceïma","","11166","1504110188"
"Jardim Alegre","Jardim Alegre","-24.1789","-51.6919","Brazil","BR","BRA","Paraná","","11196","1076799071"
"Rāmabhadrapuram","Ramabhadrapuram","18.5000","83.2833","India","IN","IND","Andhra Pradesh","","10962","1356969255"
"Bagamanoc","Bagamanoc","13.9408","124.2888","Philippines","PH","PHL","Catanduanes","","11086","1608272701"
"Hillsdale","Hillsdale","41.9266","-84.6356","United States","US","USA","Michigan","","11223","1840003252"
"San José de Aerocuar","San Jose de Aerocuar","10.6014","-63.3278","Venezuela","VE","VEN","Sucre","minor","11162","1862054804"
"Broomall","Broomall","39.9694","-75.3529","United States","US","USA","Pennsylvania","","11222","1840005549"
"Santa Croce Camerina","Santa Croce Camerina","36.8272","14.5239","Italy","IT","ITA","Sicilia","","10955","1380471228"
"Eichenzell","Eichenzell","50.4934","9.6961","Germany","DE","DEU","Hesse","","11024","1276335851"
"Stonehaven","Stonehaven","56.9640","-2.2110","United Kingdom","GB","GBR","Aberdeenshire","","11170","1826190740"
"Gloucester City","Gloucester City","39.8924","-75.1172","United States","US","USA","New Jersey","","11219","1840003777"
"Chulym","Chulym","55.0900","80.9703","Russia","RU","RUS","Novosibirskaya Oblast’","","11216","1643503284"
"Sansare","Sansare","14.7478","-90.1158","Guatemala","GT","GTM","El Progreso","minor","11124","1320883953"
"Armstrong","Armstrong","-32.7819","-61.6019","Argentina","AR","ARG","Santa Fe","","11181","1032420901"
"Salcedo","Salcedo","17.1500","120.5333","Philippines","PH","PHL","Ilocos Sur","","11110","1608432119"
"Cabestany","Cabestany","42.6806","2.9428","France","FR","FRA","Occitanie","","10235","1250178816"
"Qaşr-e Shīrīn","Qasr-e Shirin","34.5156","45.5792","Iran","IR","IRN","Kermānshāh","minor","11202","1364110689"
